"Name","Address","Signal Level","Channel","Security","WPS Support","Time","Longitude","Latitude"
"WiFi-2.4-DECA","68:15:90:16:de:d0","-49","1","WPA2","WPS","2021-07-22 05:16:44","4.02313509","50.69177463"
"Proximus Public Wi-Fi","6a:15:90:0f:a3:99","-79","1","WPA2","NO","2021-07-22 05:20:06","4.02314491","50.69177421"
"WiFi-2.4-B2F8","f4:06:8d:76:ee:75","-90","6","WPA2","WPS","2021-07-22 05:20:42","4.0231448","50.69177442"
"WiFi-5.0-DECA","68:15:90:16:de:d1","-71","112","WPA2","WPS","2021-07-22 05:20:45","4.02314488","50.69177436"
"adv","f4:06:8d:cc:05:d5","-54","6","WPA2","WPS","2021-07-22 05:24:03","4.02314444","50.69177462"
"Proximus Public Wi-Fi","6a:15:90:0f:a3:99","-70","1","WPA2","NO","2021-07-22 05:26:39","4.02318008","50.69176221"
"WiFi-2.4-32E1","9c:97:26:88:32:e1","-83","5","WPA2","WPS","2021-07-22 05:26:39","4.02318008","50.69176221"
"Proximus Public Wi-Fi","9e:97:26:88:32:e4","-84","5","WPA2","NO","2021-07-22 05:26:39","4.02318008","50.69176221"
"Orange-f884d","c8:b4:22:bf:88:51","-90","11","WPA2","WPS","2021-07-22 05:47:59","4.02320291","50.6917885"
"adv","38:a6:59:83:6b:7f","-61","64","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"WiFi-2.4-5C60","08:3e:5d:3f:5c:66","-65","1","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"adv","f4:06:8d:cc:05:d5","-67","6","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"Pkrt8-2.4-C5E8","a4:b1:e9:eb:c5:e8","-71","11","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"Proximus Public Wi-Fi","a6:b1:e9:eb:c5:eb","-71","11","WPA2","NO","2021-07-30 16:54:14","4.02274206","50.69179731"
"Proximus-Home-E3B8","20:b0:01:ec:e2:7f","-78","44","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"WiFi-5.0-DECA","68:15:90:16:de:d1","-80","112","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"Pkrt8-5.0-C5E8","a6:b1:e9:eb:c5:f1","-82","48","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"WiFi-2.4-3F58","7c:26:64:8d:3f:5e","-83","1","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"Proximus Public Wi-Fi","4a:83:c7:64:62:27","-83","13","WPA2","NO","2021-07-30 16:54:14","4.02274206","50.69179731"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-84","1","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"WiFi-5.0-6220","48:83:c7:64:62:27","-84","108","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"WiFi-2.4-6220","48:83:c7:64:62:26","-85","13","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"WiFi-5.0-E090","a4:91:b1:5f:e9:81","-90","36","WPA2","WPS","2021-07-30 16:54:14","4.02274206","50.69179731"
"Pkrt8-5.0-C5E8","a6:b1:e9:eb:c5:f1","-74","48","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"WiFi-2.4-DECA","68:15:90:16:de:d0","-78","1","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"WiFi-2.4-E090","a6:91:b1:5f:e9:89","-80","11","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"Batcave","3c:84:6a:15:57:2a","-80","12","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"WiFi-5.0-E090","a4:91:b1:5f:e9:81","-84","36","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"Proximus-Home-E3B8","a8:6a:bb:7f:e3:be","-86","1","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"Batcave","3c:84:6a:15:58:17","-92","36","WPA2","WPS","2021-07-30 16:54:20","4.02281777","50.69182105"
"adv","38:a6:59:83:6b:7f","-52","64","WPA2","WPS","2021-07-30 16:54:26","4.02282766","50.69181183"
"WiFi-2.4-DECA","68:15:90:16:de:d0","-71","1","WPA2","WPS","2021-07-30 16:54:26","4.02282766","50.69181183"
"Proximus-Home-E3B8","22:b0:01:ec:e2:87","-78","1","WPA2","WPS","2021-07-30 16:54:26","4.02282766","50.69181183"
"devolo-115","30:d3:2d:95:81:15","-82","6","WPA2","WPS","2021-07-30 16:54:26","4.02282766","50.69181183"
"Batcave","3c:84:6a:15:57:2b","-84","36","WPA2","WPS","2021-07-30 16:54:26","4.02282766","50.69181183"
"WiFi-2.4-3F58","7c:26:64:8d:3f:5e","-73","1","WPA2","WPS","2021-07-30 16:54:31","4.0228272","50.69181013"
"devolo-522","30:d3:2d:b7:a5:22","-82","3","WPA2","WPS","2021-07-30 16:54:31","4.0228272","50.69181013"
"Proximus Public Wi-Fi","aa:6a:bb:7f:e3:bf","-84","1","WPA2","NO","2021-07-30 16:54:31","4.0228272","50.69181013"
"WiFi-5.0-5C60","08:3e:5d:3f:5c:67","-92","36","WPA2","WPS","2021-07-30 16:54:48","4.022846","50.69182127"
"Proximus Public Wi-Fi","0a:3e:5d:28:36:17","-82","13","WPA2","NO","2021-07-30 16:54:51","4.02284524","50.69182149"
"WiFi-2.4-3610","08:3e:5d:28:36:16","-83","13","WPA2","WPS","2021-07-30 16:54:51","4.02284524","50.69182149"
"WiFi-5.0-5C60","08:3e:5d:3f:5c:67","-87","36","WPA2","WPS","2021-07-30 16:54:51","4.02284524","50.69182149"
"WiFi-2.4-3610","08:3e:5d:28:36:16","-69","13","WPA2","WPS","2021-07-30 16:54:54","4.02284568","50.69182153"
"Proximus Public Wi-Fi","0a:3e:5d:28:36:17","-69","13","WPA2","NO","2021-07-30 16:54:54","4.02284568","50.69182153"
"wlan-f4068dcd5c59","f4:06:8d:cd:5c:59","-86","6","WPA2","WPS","2021-07-30 16:54:54","4.02284568","50.69182153"
"WiFi-5.0-6220","48:83:c7:64:62:27","-76","108","WPA2","WPS","2021-07-30 16:54:57","4.02284546","50.69182136"
"WiFi-2.4-6220","48:83:c7:64:62:26","-78","13","WPA2","WPS","2021-07-30 16:54:57","4.02284546","50.69182136"
"DIRECT-E7-HP ENVY Photo 6200","86:a9:3e:97:e1:e7","-78","1","WPA2","WPS","2021-07-30 16:55:07","4.0228512","50.6918317"
"adv","20:b0:01:ef:fa:79","-86","112","WPA2","WPS","2021-07-30 16:55:07","4.0228512","50.6918317"
"HP-Print-C8-ENVY 5530 series","5c:b9:01:61:bf:c8","-86","13","WPA2","NO","2021-07-30 16:55:07","4.0228512","50.6918317"
"Proximus-Home-E3B8","22:b0:01:ec:e2:87","-60","1","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"WiFi-2.4-3610","08:3e:5d:28:36:16","-64","13","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"Proximus-Home-E3B8","a8:6a:bb:7f:e3:be","-78","1","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"Proximus Public Wi-Fi","aa:6a:bb:7f:e3:bf","-78","1","WPA2","NO","2021-07-30 16:55:23","4.02317509","50.69219124"
"WiFi-5.0-3610","08:3e:5d:28:36:17","-78","44","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"adv","22:b0:01:ef:fa:81","-79","1","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"WiFi-2.4-6045","c6:ea:1d:e9:60:4e","-84","112","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"totof666","68:15:90:0f:a3:98","-84","1","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"Proximus-Home-E3B8","a8:6a:bb:7f:e3:bf","-84","44","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
"WiFi-2.4-6045","c4:ea:1d:e9:60:45","-85","6","WPA2","WPS","2021-07-30 16:55:23","4.02317509","50.69219124"
